,Lat,Long,Incidents,closest_police_stations_distance,closest_bike_lockers_distance,closest_lcbo_distance,closest_subway_stations_distance,closest_pawn_shops_distance,closest_bike_stores_distance
1464,43.60063824007353,-79.49790005,1.0,5369.707895682521,4026.027417636376,227.69257748323975,5118.960773300298,7411.362472269304,151.575453273766
1650,43.60244421875,-79.53748286188119,1.0,4492.018837226942,1416.578472990284,1006.6737287997906,3930.659815362936,8975.39829725094,3140.2224825857775
1662,43.60244421875,-79.5077957529703,2.0,4835.609927036623,3329.2528108661245,682.4923846840283,4515.417932802775,7699.4371760847935,745.1211963508356
1663,43.60244421875,-79.50532182722772,1.0,4916.149272084558,3515.5549543135044,482.75567597126053,4617.244042611978,7617.507917833069,546.2588322100364
1665,43.60244421875,-79.50037397574258,2.0,5096.9159004360845,3892.166755641455,83.39228725292583,4839.2226558392595,7444.965698996251,155.47911506325426
1667,43.60244421875,-79.49542612425742,2.0,5301.655367121228,4272.942592230989,316.2878110998668,5082.932675021259,7129.844366812987,262.9332334605382
1845,43.604250197426474,-79.5548003420792,2.0,4675.6421100423695,1598.337964306094,1235.836643547783,4041.853679363985,9772.731036754616,4545.273881868214
1849,43.604250197426474,-79.5449046391089,1.0,4406.96377427392,1438.3293636667913,1220.8046921985233,3804.4700627058237,9214.504599760028,3747.898923325111
2050,43.60605617610294,-79.54737856485148,1.0,4271.114040627602,1639.1307045232809,1301.5318447746554,3655.792278431545,9206.218040729671,3965.4268042621575
2056,43.60605617610294,-79.53253501039603,1.0,4061.4997884081695,1968.0607680918183,1524.0754854003364,3533.3942825878253,8412.439875492892,2778.6236951296137
2060,43.60605617610294,-79.52263930742573,1.0,4114.135588723595,2502.0754774619313,1924.2730778410391,3673.2993812625855,7939.758215529288,1995.162326558295
2246,43.60786215477941,-79.56222211930692,1.0,4612.007383216048,2251.644258071669,902.4471714698016,3967.4617448366444,9950.19476165198,5179.336140724223
2256,43.60786215477941,-79.53748286188119,2.0,3894.897770259194,1963.4770988819014,1595.7140078440182,3329.3482250560273,8515.281535951499,3208.5185400033206
2272,43.60786215477941,-79.49790005,1.0,4689.836051967402,4302.421132157424,618.059966216007,4496.767581468179,6833.34080808597,664.2544755435287
2274,43.60786215477941,-79.49295219851486,2.0,4927.762134562294,4666.8223748683895,796.649477155018,4696.243001891518,6605.3165137939195,803.5971158406792
2452,43.609668133455884,-79.55232641633663,1.0,4045.4003194119296,2098.484356201442,741.200475892472,3409.866499154083,9215.713863549667,4422.780808331516
2453,43.609668133455884,-79.54985249059406,2.0,3964.262501900356,2059.6781119372185,868.5265272812751,3334.923465568543,9068.625819576773,4227.061983494994
2462,43.609668133455884,-79.52758715891089,1.0,3668.021303024301,2526.0722754502963,1690.398043910973,3187.586433420461,7849.963949535962,2494.3980124159057
2474,43.609668133455884,-79.49790005,1.0,4526.153748358559,4391.767051759456,815.9925488183925,4350.461400930387,6646.335699082818,864.3528869690467
2477,43.609668133455884,-79.49047827277228,1.0,4902.854334134578,4930.494641257158,1079.1153823251343,4507.966459759933,6326.021689129809,1083.3181867262865
2676,43.611474112132356,-79.49790005,3.0,4365.557897829182,4488.310510753444,1014.9938801777587,4208.637859549639,6460.149532024573,1064.6599665231633
2677,43.611474112132356,-79.49542612425742,4.0,4490.24506444652,4662.524643979968,1056.7115547587289,4273.4967840111485,6387.301142287295,1093.5582814946679
2854,43.61328009080882,-79.55727426782178,1.0,3889.5975033182763,2600.3405598911977,214.42618096992913,3245.0698846813684,9259.835839859696,4902.876149416769
2873,43.61328009080882,-79.51026967871287,1.0,3658.6485244470655,3782.7134328046786,1283.5412513435376,3395.8384039288503,6726.716907430395,1576.4875797094085
2875,43.61328009080882,-79.50532182722772,2.0,3857.0065397029166,4096.2265532917745,1301.7372027500949,3648.4979007081074,6531.436364391767,1375.5033836309801
2878,43.61328009080882,-79.49790005,1.0,4208.401868582598,4591.597531046241,1214.5387641679008,4024.4264935693545,6274.855211852346,1265.0766293839927
3056,43.615086069485294,-79.55727426782178,2.0,3723.186690938061,2789.365427720543,19.228233654321414,3078.6073280045975,9135.86175095891,4958.322735379736
3060,43.615086069485294,-79.54737856485148,2.0,3332.1696744529063,2641.132273404958,812.7809650089379,2701.2293998675714,8517.506293618399,4201.697851563007
3069,43.615086069485294,-79.52511323316831,1.0,3091.9399799037315,3135.649329166593,1066.4471171170871,2655.8065551403433,7255.962112463043,2593.702874823825
3079,43.615086069485294,-79.50037397574258,6.0,3926.742454440705,4537.2692174591475,1412.0470115073203,3780.1470243203025,6173.342852698085,1471.4871779419261
3081,43.615086069485294,-79.49542612425742,3.0,4189.016387995569,4867.775392381919,1297.6772936921493,3890.408740641751,6013.214290072174,1486.6826258042188
3082,43.615086069485294,-79.49295219851486,2.0,4328.016052916348,5036.778752953748,1155.2387323204705,3894.311325812455,5941.597578586687,1533.7437627785418
3083,43.615086069485294,-79.49047827277228,3.0,4471.611944269957,5207.95897229816,1031.9586461968945,3908.421303654536,5875.892547152283,1604.4607166788737
3279,43.616892048161766,-79.50532182722772,4.0,3524.675592669039,4347.018845701843,1260.797124781044,3359.5509004240384,6179.124782728814,1751.3988096300127
3280,43.616892048161766,-79.50284790148514,1.0,3645.308451635091,4500.1401275784365,1430.263377311923,3506.56995115536,6083.310853514056,1700.1263304813322
3281,43.616892048161766,-79.50037397574258,1.0,3772.6559304331586,4656.795102222385,1522.629236936242,3585.292453417127,5992.616470580906,1671.2984362627722
3283,43.616892048161766,-79.49542612425742,1.0,4044.925345834864,4979.364711620372,1174.9010010317918,3689.759872356008,5827.529039171149,1684.692207185986
3284,43.616892048161766,-79.49295219851486,3.0,4188.705083143994,5144.69880358076,1015.3880976871943,3693.874326415491,5753.603742006691,1726.362731106704
3286,43.616892048161766,-79.4880043470297,1.0,4489.106688983547,5482.24450912696,755.9781268110853,3695.7955189699746,5624.1229321133205,1871.8815919891147
3327,43.616892048161766,-79.38657339158416,1.0,4153.119699689371,2910.795916922713,2872.7344126374114,3182.800374949054,3555.7155226768323,3527.138676669338
3469,43.61869802683824,-79.53500893613861,1.0,2675.23126879579,3169.204562059532,1446.6807594966454,2121.4566690358884,7508.51164355177,3481.6469621987553
3471,43.61869802683824,-79.53006108465347,1.0,2655.767083129625,3304.2414923832907,1082.0237770683377,2164.6454599492163,7224.617697799181,3151.6852033586524
3483,43.61869802683824,-79.50037397574258,1.0,3623.131516873921,4781.756243208944,1447.5222827498492,3391.1141392437767,5813.197466244098,1871.28986099984
3484,43.61869802683824,-79.49790005,2.0,3761.8391478423955,4937.551827037648,1259.5465428484829,3448.246647367115,5725.187313168871,1866.6312873165086
3486,43.61869802683824,-79.49295219851486,4.0,4054.5407068864447,5258.0637902869175,898.8728975776778,3493.462040359741,5566.493751691292,1920.6274915605363
3487,43.61869802683824,-79.49047827277228,2.0,4207.471345791965,5422.2528825815525,733.7238884908879,3509.183212771508,5496.310636839412,1977.5542826430924
3488,43.61869802683824,-79.4880043470297,9.0,4364.178147613534,5588.757157112247,590.318709106646,3496.073338691018,5432.559206028918,2052.414847639685
3666,43.620504005514704,-79.54737856485148,1.0,2790.374533089992,2955.944200948144,1003.4270010954209,2149.885226192033,8135.739581659401,4447.28414069278
3674,43.620504005514704,-79.52758715891089,1.0,2468.9370961598243,3568.6256002235746,815.6521039089517,2021.5912263748269,6941.552955606134,3122.0596091892658
3676,43.620504005514704,-79.52263930742573,1.0,2543.6591097186338,3753.389801303947,470.81958951611216,2179.5152967977806,6669.390369372309,2834.997376311869
3684,43.620504005514704,-79.50284790148514,1.0,3340.232256890649,4763.483479554254,1279.4405071991803,3148.7273757006324,5731.557651087515,2094.7366644394056
3688,43.620504005514704,-79.49295219851486,2.0,3926.0505908161367,5376.529309164144,815.7543113540921,3293.078991342424,5380.359826744834,2116.0848405567053
3689,43.620504005514704,-79.49047827277228,1.0,4083.791155317467,5537.202040288858,629.1593003155141,3309.751613172639,5307.718251719862,2167.883620181088
3691,43.620504005514704,-79.48553042128712,12.0,4409.473885474407,5865.751744766019,309.59400446094577,3281.5279911171237,5182.484073831214,2320.0959601027275
3692,43.620504005514704,-79.48305649554456,15.0,4576.690150320987,5902.152431204442,255.8693838833632,3278.701715040571,5130.380896012102,2417.4504749209555
3876,43.622309984191176,-79.52758715891089,1.0,2269.586998114417,3751.790088543394,762.7316152669624,1832.0339423267578,6799.082528879478,3258.316600731875
3882,43.622309984191176,-79.51274360445544,1.0,2689.096528281925,4369.411186047411,455.90427097326557,2510.642803927424,6005.907234863932,2538.48034858464
3890,43.622309984191176,-79.49295219851486,2.0,3803.8098064581422,5499.765779096818,776.8274563995232,3092.730874697292,5195.306885017474,2312.4324053385185
3894,43.622309984191176,-79.48305649554456,24.0,4472.250319325249,5850.64226189729,59.10077369976546,3078.0770358457044,4935.972910222269,2591.0527753901147
3939,43.622309984191176,-79.37172983712871,1.0,3392.608970712417,2985.7398065175194,2299.829388972601,2642.49856895171,2797.019523573669,3526.028165388156
4082,43.62411596286765,-79.5176914559406,1.0,2314.0518539073605,4303.71349363224,102.61589291601604,2086.169149577629,6104.163456200829,2909.5883805620047
4087,43.62411596286765,-79.50532182722772,1.0,2912.608602595142,4908.956803063747,1046.1290958850761,2715.967825659412,5494.697175507091,2526.74788147813
4090,43.62411596286765,-79.49790005,2.0,3364.064018885606,5329.23823259623,1183.3871162616022,2882.62138812723,5187.141234966987,2468.383384041813
4091,43.62411596286765,-79.49542612425742,1.0,3524.3297739064988,5476.7372631298895,985.5594901905134,2887.1692327170517,5096.146996819077,2480.982131608575
4093,43.62411596286765,-79.49047827277228,4.0,3855.903154403293,5781.1536566542,593.6265102616264,2911.3917754901076,4933.388868082726,2553.2894124470554
4094,43.62411596286765,-79.4880043470297,7.0,4026.301563815406,5937.58816706865,403.15619484746986,2897.678084928854,4862.26873115914,2611.6939910721026
4097,43.62411596286765,-79.48058256980198,2.0,4551.783467273532,5610.461195902996,267.21237921873734,2888.0648458060714,4693.586542525784,2864.3546012797306
4098,43.62411596286765,-79.4781086440594,1.0,4730.824792286047,5415.636995076492,447.7778437810284,2912.350721390003,4638.2394304366035,2970.7333192000688
4261,43.62592194154412,-79.5745917480198,1.0,3980.9373341988294,2110.0108772224053,1629.7053443748284,3426.1334606339083,9676.714531696956,6232.796967689222
4267,43.62592194154412,-79.55974819356436,2.0,2973.3560676753823,2024.8741372079776,767.5662508042099,2365.8746515514513,8625.493014705671,5321.652068661158
4289,43.62592194154412,-79.50532182722772,2.0,2774.8124336847277,5059.59357740753,1082.5379475269121,2518.714369134442,5328.7458367475565,2723.0549074195674
4299,43.62592194154412,-79.48058256980198,11.0,4464.824921343146,5570.726999988215,412.88176085426613,2688.240291661806,4498.20343847107,2854.6675283863683
4300,43.62592194154412,-79.4781086440594,3.0,4647.212315119098,5374.468611128054,547.3299054512806,2714.3138762454823,4455.997338499014,2835.675389584918
4460,43.627727920220586,-79.58201352524752,4.0,4441.161079040243,2225.389833990092,1598.9607587978826,3923.744343278345,10129.976483816794,6612.878066460026
4461,43.627727920220586,-79.57953959950495,1.0,4256.490443113578,2110.757672595342,1565.1783340496172,3732.8087191220807,9948.450775920488,6444.943939513705
4464,43.627727920220586,-79.57211782227722,2.0,3711.787001209204,1855.3592176349428,1364.9518775093566,3166.4534092673866,9408.267311895,5952.886764896466
4486,43.627727920220586,-79.5176914559406,3.0,1966.757939393089,4234.8231647874445,496.1078239463887,1814.842504774707,5809.35291063781,3256.877340356632
4494,43.627727920220586,-79.49790005,1.0,3135.262432866243,5611.087859567073,1295.7571924678393,2495.779984068123,4836.819620116943,2869.5999797244417
4495,43.627727920220586,-79.49542612425742,2.0,3306.626384869909,5751.354837452028,1118.004845092781,2485.8786673036684,4739.109631343397,2880.4437362052986
4502,43.627727920220586,-79.4781086440594,1.0,4570.884434818627,5340.526647358024,377.79341635439096,2516.691468674499,4259.169632448026,2635.414410000396
4527,43.627727920220586,-79.41626050049504,3.0,2714.7752982606025,854.0455778571578,1407.1401795871932,3368.108980004164,1865.1077738486038,2262.84735209441
4537,43.627727920220586,-79.3915212430693,2.0,2943.9990651698085,1887.7271477269899,1842.4722631580307,2133.0238220667065,2630.4382988482353,2266.413105891443
4664,43.62953389889706,-79.57706567376238,3.0,3996.0321996387393,1834.8317947755254,1355.8653696628662,3484.6737422153415,9683.461353900208,6168.265057547013
4669,43.62953389889706,-79.5646960450495,1.0,3087.3359269595985,1573.3649043843652,735.96051398976,2535.327748720568,8782.923619472105,5355.113350824838
4702,43.62953389889706,-79.48305649554456,3.0,4126.254258126953,5710.839920635738,219.96963515590892,2275.6276137658065,4164.269169467802,2495.2178400036105
4705,43.62953389889706,-79.47563471831683,8.0,4687.531081987696,5115.644545526627,425.51535653204013,2366.6532463261415,4025.846487316391,2429.385958972549
4729,43.62953389889706,-79.41626050049504,1.0,2522.9190587452445,668.6264281447443,1211.259875109101,3239.698218798763,1688.303321230845,2084.451710149993
4752,43.62953389889706,-79.35936020841584,2.0,2512.1139156260742,3015.027319584785,1836.2013887865667,2442.6405288850433,2294.2097706350073,3509.7312371449457
4864,43.63133987757353,-79.58201352524752,2.0,4307.941023470353,1920.9780385919285,1211.9118429905802,3828.666827109018,9971.066143339356,6407.584473938893
4868,43.63133987757353,-79.57211782227722,1.0,3551.36072379255,1476.5652599623518,1232.647301274368,3047.895788070959,9236.994903821813,5724.01432649791
4871,43.63133987757353,-79.5646960450495,1.0,2998.2350436858483,1372.8405522937155,673.5348602959192,2469.790428122033,8693.882386499803,5232.724081871592
4875,43.63133987757353,-79.5548003420792,3.0,2296.723898934148,1614.4532876234475,180.365496545133,1721.2616910588085,7982.12909851627,4617.325740979233
4877,43.63133987757353,-79.54985249059406,1.0,1973.811057131258,1856.2221457427042,547.9776694151067,1368.372833739594,7632.681531525438,4332.082242002764
4891,43.63133987757353,-79.51521753019802,1.0,1780.375666633794,4271.532329756932,927.9523074585749,1726.780863012454,5383.8128158934605,3134.0058665089587
4903,43.63133987757353,-79.48553042128712,1.0,3870.549983198828,5892.218810960502,398.1379843141965,2079.496863620117,4040.298100702973,2357.742789606652
4928,43.63133987757353,-79.42368227772278,2.0,2209.3779839143044,974.421676954184,1026.859205659619,3327.0681229855145,1287.0682459049415,2280.1806028120836
4954,43.63133987757353,-79.35936020841584,1.0,2312.367863333672,2896.9525870998755,1676.7237812840958,2303.8763740558,2122.4284409983425,3378.678646173457
5065,43.63314585625,-79.5844874509901,1.0,4447.709677738768,1938.1841364864088,1110.0128336247426,3994.048127628648,10083.14969684439,6489.510854797417
5066,43.63314585625,-79.58201352524752,2.0,4253.982008362081,1783.2105799573071,1022.5178500856853,3796.173702355427,9896.757687283303,6312.005596659667
5070,43.63314585625,-79.57211782227722,1.0,3485.734946959408,1292.2745569855997,1047.0101670857302,3007.00425937903,9156.754328790921,5616.837565090817
5072,43.63314585625,-79.56716997079208,3.0,3107.3384319890524,1180.3571949789568,866.4575614647401,2614.554274675594,8790.583020697833,5280.2146124912315
5092,43.63314585625,-79.5176914559406,1.0,1497.3350725697198,4019.9553688628216,1097.01356749818,1462.5306882790157,5392.97299081181,2954.351413823208
5095,43.63314585625,-79.51026967871287,1.0,1969.694726140626,4596.16434908931,1270.619038996635,1671.9647253601147,4960.273017888017,2933.302995049613
5096,43.63314585625,-79.5077957529703,2.0,2141.2604078340773,4789.469992575303,1382.3671535194019,1693.3234092363589,4823.937094512321,2953.3569051388176
5124,43.63314585625,-79.43852583217821,2.0,2251.753167046068,2094.9614574653306,891.4841118814709,2891.938334064603,1431.4893999208512,1607.740862463667
5125,43.63314585625,-79.43605190643564,3.0,2167.722802230989,1896.3486160957898,846.3057365461076,2945.725017742482,1306.3712547028274,1716.7853288052079
5126,43.63314585625,-79.43357798069307,3.0,2099.3671774205704,1697.9766296648659,847.0107885057381,2991.0901693024816,1201.5621296529964,1841.0787364614325
5127,43.63314585625,-79.4311040549505,4.0,2048.2562145662637,1499.9410629229099,893.4906547574204,3009.24924962095,1122.7639962256508,1977.7481706221135
5128,43.63314585625,-79.42863012920792,1.0,2015.7021288232443,1302.3953878925831,979.2488052176406,3038.7297527934243,1075.7082200541145,2124.4064117723137
5129,43.63314585625,-79.42615620346534,4.0,2002.610097008995,1105.6022331102956,931.9635768068406,3080.8853935422935,1064.61218381248,2279.1259818755934
5135,43.63314585625,-79.4113126490099,1.0,2316.9596637757063,230.3118937619033,1033.6124740531463,2678.2739787058963,1632.3728987166273,1549.5422116688471
5136,43.63314585625,-79.40883872326732,2.0,2423.536310331112,370.33783056654556,1174.9989750033544,2521.740766208374,1788.5201733931474,1484.4030787344013
5139,43.63314585625,-79.4014169460396,9.0,2518.667280584624,931.5265542089295,1457.622356537468,2096.5263525002388,2297.7171824606435,1445.2512124868165
5270,43.63495183492647,-79.57706567376238,2.0,3818.713923779496,1354.894822343247,754.201788061378,3376.3800093563314,9452.038388214914,5865.211704750167
5275,43.63495183492647,-79.5646960450495,2.0,2854.211634066326,971.9513579077517,720.584822280631,2384.405810551557,8527.1828490271,5003.128559784633
5284,43.63495183492647,-79.54243071336633,2.0,1258.0541631905883,2088.4868895140025,1168.4721010001194,648.5902503003042,6913.84816989159,3631.2551790828293
5305,43.63495183492647,-79.49047827277228,1.0,3372.30807516013,6118.813260195493,927.0731414722933,1724.5273235240147,3843.2059529631797,2169.1506311237363
5324,43.63495183492647,-79.44347368366337,1.0,2299.749166105198,2484.452835222116,945.3714811809037,2561.4819184451567,1608.3085355930393,1257.5332889437284
5325,43.63495183492647,-79.44099975792079,4.0,2181.309421645801,2284.8161808039595,809.8240823567037,2629.2110403138354,1443.8531246513082,1335.8552857570126
5326,43.63495183492647,-79.43852583217821,1.0,2075.3466090836046,2085.179531059066,705.4111300023926,2709.9801419618243,1289.3667830343006,1437.8192495013075
5330,43.63495183492647,-79.42863012920792,3.0,1816.5231799966145,1286.633027948995,813.5012269593055,2841.574773506096,877.7697234370974,1998.8842807470792
5338,43.63495183492647,-79.40883872326732,17.0,2260.5697106860016,310.4635234714124,1053.223106632456,2398.3980308649434,1676.924202466748,1292.0944905124893
5339,43.63495183492647,-79.40636479752476,15.0,2386.4355508509584,510.09923809241786,1225.2510687641923,2240.1016287534785,1850.9244363871721,1245.6245485229906
5340,43.63495183492647,-79.40389087178218,12.0,2420.3715804264734,709.7354982457913,1371.3248116859636,2088.896916789551,2029.647041271978,1230.1820392987067
5341,43.63495183492647,-79.4014169460396,25.0,2333.518056470028,909.3719445282918,1273.8109314874198,1946.437304543801,2211.9476279955734,1246.9202759368595
5342,43.63495183492647,-79.39894302029703,9.0,2260.995054699421,1109.0084762918077,1201.8122876430843,1814.7834202197726,2397.0099830984527,1294.5916304876039
5473,43.63675781360294,-79.5745917480198,2.0,3582.6188397517667,1071.8682247587453,599.3363390720725,3164.0221892086024,9194.621997587734,5595.800530894924
5475,43.63675781360294,-79.56964389653466,1.0,3190.7862555930014,844.2726204657992,838.6533228420286,2765.0643805315194,8821.01651897297,5242.676402950036
5478,43.63675781360294,-79.56222211930692,1.0,2607.2560628391825,810.1580737436692,669.3196344323404,2166.835033280798,8265.09072830571,4726.756306904802
5480,43.63675781360294,-79.55727426782178,1.0,2222.7718451101905,1008.5672018288192,487.2873284512577,1768.2628483718838,7897.952581477305,4394.501717289461
5487,43.63675781360294,-79.53995678762377,1.0,975.4133532630019,2188.7446258820332,1418.2536400195615,384.63144453321104,6642.132476613527,3348.786633552525
5497,43.63675781360294,-79.51521753019802,1.0,1423.6262164667787,4117.6815264488205,1394.8326923145444,1212.183980849063,4980.391216822945,2533.6133171241872
5500,43.63675781360294,-79.5077957529703,1.0,1975.699855860581,4707.310949530295,1274.0931773573354,1299.2268941563248,4534.7234865901455,2556.2281705644473
5514,43.63675781360294,-79.47316079257426,22.0,3940.1230642091627,4884.092196487591,920.5864482805137,1674.5773767642636,3202.3011571556785,1642.5528256356424
5515,43.63675781360294,-79.47068686683168,8.0,3894.5078733723976,4684.6320702846015,1063.4090645494866,1713.0582847775631,3180.5471356822504,1681.958357925776
5517,43.63675781360294,-79.46573901534653,7.0,3601.1592977719597,4285.760300257775,1391.6525658465016,1853.1979428355455,3063.259530664032,1703.699220986332
5519,43.63675781360294,-79.46079116386139,2.0,3248.422790621947,3886.9697582810986,1749.687717310125,1961.2006608455945,2831.277361777473,1397.8680414789224
5521,43.63675781360294,-79.45584331237623,1.0,2907.7304123800427,3488.2883047527826,1749.8912981058156,2096.195604202326,2446.540177012842,1150.7612479719746
5525,43.63675781360294,-79.44594760940593,3.0,2283.947632041796,2691.4465743487476,997.3487636603872,2313.1253951143467,1691.7693172610673,1010.4461007320496
5527,43.63675781360294,-79.44099975792079,1.0,2018.7352247876347,2293.467385921535,662.7177353283345,2444.1710195373175,1333.614456963315,1160.8336692923103
5528,43.63675781360294,-79.43852583217821,3.0,1903.7484528727814,2094.6616608990844,530.0842884619656,2515.9229039105967,1164.6007991138808,1276.8481457558894
5529,43.63675781360294,-79.43605190643564,12.0,1803.5826120364911,1896.0299358720895,449.98170321818645,2553.3313914192304,1006.856241948404,1411.6800833921864
5530,43.63675781360294,-79.43357798069307,2.0,1720.827739201726,1697.6332888005402,451.3062572781363,2592.072461526841,866.5569410539248,1560.4592974548111
5531,43.63675781360294,-79.4311040549505,6.0,1658.0928142795678,1499.5650272066032,533.4517473536498,2611.025156695932,753.5113416125325,1719.5693851769656
